state,office_name,deck_users,dem_campaigns,pct_of_dem_campaigns_outraised,dem_vote_share_2018,dem_vote_share_2020,dem_change_2018_to_2020
AK,STATE HOUSE,FALSE,8,0.625,0.398,0.378,-0.02
AK,STATE HOUSE,TRUE,6,0.167,0.489,0.494,0.004
AL,US HOUSE,FALSE,3,1,0.318,0.278,-0.04
AL,US HOUSE,TRUE,1,1,0.362,0.315,-0.047
AR,STATE HOUSE,FALSE,12,0.667,0.399,0.396,-0.003
AR,STATE HOUSE,TRUE,4,0.5,0.436,0.412,-0.025
AR,US HOUSE,FALSE,2,1,0.32,0.296,-0.024
AR,US HOUSE,TRUE,1,1,0.458,0.449,-0.009
AZ,STATE HOUSE,FALSE,27,0.741,0.344,0.322,-0.022
AZ,STATE HOUSE,TRUE,5,0.8,0.237,0.288,0.052
AZ,STATE SENATE,FALSE,12,0.333,0.622,0.547,-0.075
AZ,STATE SENATE,TRUE,5,0.8,0.44,0.463,0.023
AZ,US HOUSE,FALSE,3,0.667,0.57,0.549,-0.021
AZ,US HOUSE,TRUE,5,0.2,0.51,0.54,0.03
CA,STATE HOUSE,FALSE,66,0.227,0.634,0.607,-0.027
CA,STATE HOUSE,TRUE,7,0.857,0.53,0.448,-0.082
CA,US HOUSE,FALSE,53,0.226,0.669,0.624,-0.046
CA,US HOUSE,TRUE,5,0.2,0.51,0.515,0.005
CO,STATE HOUSE,FALSE,38,0.474,0.552,0.533,-0.02
CO,STATE HOUSE,TRUE,19,0,0.574,0.574,-0
CO,US HOUSE,FALSE,2,0,0.587,0.605,0.018
CO,US HOUSE,TRUE,5,0.4,0.507,0.513,0.006
CT,STATE HOUSE,FALSE,96,0.479,0.584,0.561,-0.024
CT,STATE HOUSE,TRUE,3,1,0.453,0.459,0.007
CT,STATE SENATE,FALSE,29,0.517,0.56,0.56,0
CT,US HOUSE,FALSE,5,0,0.674,0.59,-0.083
DE,STATE HOUSE,FALSE,17,0.353,0.6,0.564,-0.037
DE,US SENATE,FALSE,1,0,0.6,0.594,-0.005
FL,STATE HOUSE,FALSE,34,0.853,0.437,0.407,-0.03
FL,STATE HOUSE,TRUE,40,0.8,0.45,0.43,-0.02
FL,STATE SENATE,FALSE,2,1,0.446,0.408,-0.038
FL,US HOUSE,FALSE,10,0.7,0.437,0.417,-0.02
FL,US HOUSE,TRUE,10,0.3,0.547,0.513,-0.033
GA,STATE HOUSE,FALSE,17,0.588,0.587,0.573,-0.014
